User,Tweet,Date,Language,Hashtags,Image
Preciou58087818,"Vorto GamingðŸ˜Ž
 #MemeDaily @NearMemeDaily @vorto_gaming #Vorto_gaming @NearGamesGuild https://t.co/bf6jXnYs1q",2021-10-20 19:02:17+00:00,en,"[{'text': 'MemeDaily', 'indices': [15, 25]}, {'text': 'Vorto_gaming', 'indices': [55, 68]}]",http://pbs.twimg.com/media/FP-sgv5XMAYm-u_.jpg
Preciou58087818,"Vorto GamingðŸ˜Ž
 #MemeDaily @NearMemeDaily @vorto_gaming #Vorto_gaming @NearGamesGuild https://t.co/OlPy2pDcKB",2021-10-20 19:02:17+00:00,en,"[{'text': 'MemeDaily', 'indices': [15, 25]}, {'text': 'Vorto_gaming', 'indices': [55, 68]}]",http://pbs.twimg.com/media/FP-sjCIWQAQiANB.jpg
Preciou58087818,"Vorto GamingðŸ˜Ž
 #MemeDaily @NearMemeDaily @vorto_gaming #Vorto_gaming @NearGamesGuild https://t.co/qPPkDHpLRM",2021-10-20 19:02:17+00:00,en,"[{'text': 'MemeDaily', 'indices': [15, 25]}, {'text': 'Vorto_gaming', 'indices': [55, 68]}]",http://pbs.twimg.com/media/FP-sl2KXoAEeWzJ.jpg
Preciou58087818,"Vorto GamingðŸ˜Ž
 #MemeDaily @NearMemeDaily @vorto_gaming #Vorto_gaming @NearGamesGuild https://t.co/lG77f66yN6",2021-10-20 19:02:17+00:00,en,"[{'text': 'MemeDaily', 'indices': [15, 25]}, {'text': 'Vorto_gaming', 'indices': [55, 68]}]",http://pbs.twimg.com/media/FP-soBSXMAQC_YJ.jpg
Preciou58087818,"Vorto GamingðŸ˜Ž
 #MemeDaily @NearMemeDaily @vorto_gaming #Vorto_gaming @NearGamesGuild https://t.co/EgB8zsOTkC",2021-10-20 19:02:17+00:00,en,"[{'text': 'MemeDaily', 'indices': [15, 25]}, {'text': 'Vorto_gaming', 'indices': [55, 68]}]",http://pbs.twimg.com/media/FP-sqVyWQAc9o6H.jpg
Preciou58087818,"Vorto GamingðŸ˜Ž
 #MemeDaily @NearMemeDaily @vorto_gaming #Vorto_gaming @NearGamesGuild https://t.co/G3J45Ycl1J",2021-10-20 19:02:17+00:00,en,"[{'text': 'MemeDaily', 'indices': [15, 25]}, {'text': 'Vorto_gaming', 'indices': [55, 68]}]",http://pbs.twimg.com/media/FP-0vaCXsAkmNEL.jpg
Preciou58087818,"Vorto GamingðŸ˜Ž
 #MemeDaily @NearMemeDaily @vorto_gaming #Vorto_gaming @NearGamesGuild https://t.co/R2SUs6x1pZ",2021-10-20 19:02:17+00:00,en,"[{'text': 'MemeDaily', 'indices': [15, 25]}, {'text': 'Vorto_gaming', 'indices': [55, 68]}]",http://pbs.twimg.com/media/FP-02PjX0Ag5wBm.jpg
LoudBol_,"Wish one could say no to that ðŸ˜‚

#meme #memedaily #memelord #instalike #instameme #instadaily #funny https://t.co/hHWY8dGDjR",2022-02-14 12:10:48+00:00,en,"[{'text': 'meme', 'indices': [33, 38]}, {'text': 'memedaily', 'indices': [39, 49]}, {'text': 'memelord', 'indices': [50, 59]}, {'text': 'instalike', 'indices': [60, 70]}, {'text': 'instameme', 'indices': [71, 81]}, {'text': 'instadaily', 'indices': [82, 93]}, {'text': 'funny', 'indices': [94, 100]}]",http://pbs.twimg.com/media/FP-4PreXoAM7b3b.jpg
ImmunisMagic,"RT @LoudBol_: Wish one could say no to that ðŸ˜‚

#meme #memedaily #memelord #instalike #instameme #instadaily #funny https://t.co/hHWY8dGDjR",2021-09-13 22:38:58+00:00,en,"[{'text': 'meme', 'indices': [47, 52]}, {'text': 'memedaily', 'indices': [53, 63]}, {'text': 'memelord', 'indices': [64, 73]}, {'text': 'instalike', 'indices': [74, 84]}, {'text': 'instameme', 'indices': [85, 95]}, {'text': 'instadaily', 'indices': [96, 107]}, {'text': 'funny', 'indices': [108, 114]}]",http://pbs.twimg.com/media/FP-4PreXoAM7b3b.jpg
